maxQuiescenceDepth, maxCheckSearchDepth, nullMoveReduction, minExtensionHorizon, simpleCheckExtension, attackCheckExtension, forcedMoveExtension, mateExtension, rankAttackExtension, pawnOnSevenRankExtension, protectingPawnOnSixRankExtension, recaptureMinExtension, recaptureMaxExtension, recaptureBeginMinTreshold, recaptureBeginMaxTreshold, recaptureTargetTreshold, totalTime, totalNodeCount
14, 13, 1, 7, 0.4794921875, 0.9638671875, 0.9990234375, 0.71875, 0.4814453125, 0.3330078125, 0.9990234375, 0.1708984375, 0.5654296875, 4.004, 4.44, 4.029, 16392, 26810447
17, 13, 5, 6, 0.533203125, 0.9111328125, 0.330078125, 0.9990234375, 0.9619140625, 0.9990234375, 0.7587890625, 0.0, 0.7060546875, 0.0, 8.015, 0.0, 20562, 36761006
15, 5, 3, 7, 0.37890625, 0.9990234375, 0.4775390625, 0.736328125, 0.923828125, 0.9990234375, 0.953125, 0.0, 0.4775390625, 5.409, 5.41, 2.504, 19959, 35037649
7, 6, 2, 7, 0.583984375, 0.9990234375, 0.7578125, 0.5400390625, 0.9990234375, 0.9990234375, 0.556640625, 0.0, 0.884765625, 7.736, 7.737, 1.663, 20371, 35319453
15, 9, 2, 2, 0.1142578125, 0.7939453125, 0.0, 0.9990234375, 0.392578125, 0.4765625, 0.9990234375, 0.0693359375, 0.330078125, 0.73, 8.999, 3.433, 20371, 36112009
15, 4, 1, 7, 0.4638671875, 0.4638671875, 0.939453125, 0.9990234375, 0.53125, 0.9990234375, 0.4560546875, 0.0, 0.724609375, 0.941, 4.539, 0.0, 20772, 36187495
11, 8, 4, 4, 0.6708984375, 0.9990234375, 0.9990234375, 0.9990234375, 0.931640625, 0.9990234375, 0.9990234375, 0.0908203125, 0.7216796875, 0.136, 6.607, 2.499, 21170, 37201131
1, 0, 1, 6, 0.4462890625, 0.578125, 0.9990234375, 0.9990234375, 0.275390625, 0.9990234375, 0.9990234375, 0.0, 0.0224609375, 0.0, 4.287, 6.15, 21968, 38725667
12, 9, 3, 7, 0.2734375, 0.9990234375, 0.546875, 0.8447265625, 0.9990234375, 0.9990234375, 0.9990234375, 0.0, 0.5517578125, 2.505, 2.506, 0.112, 20769, 36593533
3, 2, 5, 7, 0.5166015625, 0.94921875, 0.767578125, 0.9990234375, 0.828125, 0.9990234375, 0.9990234375, 0.0, 0.658203125, 0.0, 0.001, 0.0, 21771, 39175385
19, 0, 5, 7, 0.416015625, 0.9990234375, 0.3603515625, 0.638671875, 0.765625, 0.646484375, 0.9990234375, 0.0, 0.6328125, 0.0, 3.687, 0.0, 19565, 34155002
10, 9, 4, 7, 0.65234375, 0.99609375, 0.7119140625, 0.9990234375, 0.62890625, 0.9990234375, 0.9990234375, 0.0, 0.4658203125, 2.406, 6.16, 2.417, 21974, 39025238
12, 5, 3, 7, 0.65625, 0.72265625, 0.9990234375, 0.6357421875, 0.1865234375, 0.9990234375, 0.9599609375, 0.0, 0.412109375, 1.076, 4.442, 0.0, 20968, 36504731
3, 2, 1, 5, 0.3046875, 0.853515625, 0.9072265625, 0.79296875, 0.75390625, 0.892578125, 0.9990234375, 0.05859375, 0.9990234375, 0.397, 5.189, 6.128, 20158, 35139645
1, 0, 5, 3, 0.966796875, 0.994140625, 0.55078125, 0.9990234375, 0.9990234375, 0.6494140625, 0.8720703125, 0.3740234375, 0.5908203125, 3.184, 6.066, 0.0, 21378, 38115042
16, 14, 1, 4, 0.3876953125, 0.865234375, 0.5556640625, 0.9990234375, 0.720703125, 0.8662109375, 0.703125, 0.0458984375, 0.9951171875, 4.972, 6.397, 5.355, 19965, 34827050
19, 18, 4, 4, 0.390625, 0.697265625, 0.9990234375, 0.9990234375, 0.9990234375, 0.9892578125, 0.689453125, 0.1806640625, 0.775390625, 3.53, 3.531, 1.136, 20761, 36922341
1, 0, 3, 6, 0.619140625, 0.9990234375, 0.837890625, 0.9990234375, 0.935546875, 0.515625, 0.9990234375, 0.0, 0.9990234375, 6.719, 7.672, 0.945, 21166, 37045493
12, 10, 5, 5, 0.9990234375, 0.9990234375, 0.9990234375, 0.9990234375, 0.1435546875, 0.5322265625, 0.9990234375, 0.140625, 0.9990234375, 2.247, 3.957, 0.0, 21378, 38315952
10, 7, 5, 7, 0.40234375, 0.6923828125, 0.9990234375, 0.9990234375, 0.2900390625, 0.9990234375, 0.9990234375, 0.1728515625, 0.841796875, 2.401, 6.153, 3.535, 21174, 37230575
12, 5, 5, 3, 0.67578125, 0.8310546875, 0.7373046875, 0.7958984375, 0.8271484375, 0.6796875, 0.9990234375, 0.0, 0.9990234375, 1.122, 1.123, 3.276, 20162, 34953323
5, 4, 3, 7, 0.8076171875, 0.9990234375, 0.3046875, 0.732421875, 0.806640625, 0.9990234375, 0.9990234375, 0.140625, 0.5849609375, 5.336, 6.377, 2.314, 20565, 34948202
13, 12, 5, 7, 0.9990234375, 0.9990234375, 0.9990234375, 0.9990234375, 0.75390625, 0.9990234375, 0.9990234375, 0.431640625, 0.9990234375, 5.405, 6.007, 0.0, 21168, 37463826
